frame_index,timestamp,desk_id,worker_id,state
72,09:05:41,6,W006,THINKING
73,09:05:41,1,W001,THINKING
73,09:05:41,2,W002,THINKING
73,09:05:41,3,W003,THINKING
73,09:05:41,4,W004,THINKING
73,09:05:41,5,W005,INITIALIZING
73,09:05:41,6,W006,THINKING
74,09:05:41,1,W001,THINKING
74,09:05:41,2,W002,THINKING
74,09:05:41,3,W003,THINKING
74,09:05:41,4,W004,THINKING
74,09:05:41,5,W005,INITIALIZING
74,09:05:41,6,W006,THINKING
75,09:05:41,1,W001,THINKING
75,09:05:41,2,W002,THINKING
75,09:05:41,3,W003,THINKING
75,09:05:41,4,W004,THINKING
75,09:05:41,5,W005,INITIALIZING
75,09:05:41,6,W006,THINKING
76,09:05:41,1,W001,THINKING
76,09:05:41,2,W002,THINKING
76,09:05:41,3,W003,THINKING
76,09:05:41,4,W004,THINKING
76,09:05:41,5,W005,INITIALIZING
76,09:05:41,6,W006,THINKING
77,09:05:41,1,W001,THINKING
77,09:05:41,2,W002,THINKING
77,09:05:41,3,W003,THINKING
77,09:05:41,4,W004,THINKING
77,09:05:41,5,W005,INITIALIZING
77,09:05:41,6,W006,THINKING
78,09:05:41,1,W001,THINKING
78,09:05:41,2,W002,THINKING
78,09:05:41,3,W003,THINKING
78,09:05:41,4,W004,THINKING
78,09:05:41,5,W005,INITIALIZING
78,09:05:41,6,W006,THINKING
79,09:05:41,1,W001,THINKING
79,09:05:41,2,W002,THINKING
79,09:05:41,3,W003,THINKING
79,09:05:41,4,W004,THINKING
79,09:05:41,5,W005,INITIALIZING
79,09:05:41,6,W006,THINKING
80,09:05:41,1,W001,THINKING
80,09:05:41,2,W002,THINKING
80,09:05:41,3,W003,THINKING
80,09:05:41,4,W004,THINKING
80,09:05:41,5,W005,INITIALIZING
80,09:05:41,6,W006,THINKING
81,09:05:41,1,W001,THINKING
81,09:05:41,2,W002,WORKING
81,09:05:41,3,W003,THINKING
81,09:05:41,4,W004,THINKING
81,09:05:41,5,W005,INITIALIZING
81,09:05:41,6,W006,THINKING
82,09:05:41,1,W001,THINKING
